ip,port,protocol,state,service,version,scan_type,is_open
172.16.17.115,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
10.0.17.154,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.190,21,tcp,open,ftp,FileZilla Server,Connect Scan,1
192.168.1.37,8080,tcp,open,http-proxy,Jetty 9.4,SYN Scan,1
172.16.10.28,25,tcp,open,smtp,Microsoft Exchange,Version Detection,1
10.0.34.75,23,tcp,open,telnet,Cisco IOS telnetd,Connect Scan,1
10.0.32.38,5432,tcp,open,postgresql,PostgreSQL 12.5,ACK Scan,1
192.168.1.230,50383,udp,filtered,unknown,unknown,ACK Scan,0
10.0.22.101,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
172.16.22.244,27017,tcp,open,mongodb,MongoDB 4.4.1,ACK Scan,1
192.168.1.73,58839,tcp,closed,unknown,unknown,ACK Scan,0
172.16.30.179,53,udp,open,domain,dnsmasq 2.79,Connect Scan,1
192.168.1.73,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
172.16.2.178,32504,udp,filtered,unknown,unknown,ACK Scan,0
172.16.16.173,22646,udp,closed,unknown,unknown,ACK Scan,0
172.16.3.119,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
172.16.28.56,57571,tcp,filtered,unknown,unknown,Version Detection,0
10.0.34.16,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
10.0.1.175,33221,tcp,filtered,unknown,unknown,Connect Scan,0
10.0.9.153,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
10.0.8.156,3306,tcp,open,mysql,MySQL 5.7.33,Connect Scan,1
172.16.6.167,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
10.0.34.99,5432,tcp,open,postgresql,PostgreSQL 13.1,SYN Scan,1
172.16.20.20,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
172.16.25.76,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.16.30,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
192.168.1.36,22,tcp,open,ssh,Dropbear sshd,Version Detection,1
192.168.1.171,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
10.0.20.109,110,tcp,open,pop3,Dovecot pop3d,ACK Scan,1
10.0.25.172,110,tcp,open,pop3,Courier pop3d,SYN Scan,1
10.0.1.46,14822,udp,open,unknown,unknown,SYN Scan,1
172.16.11.169,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
172.16.0.114,443,tcp,open,https,Apache httpd 2.4.41,Version Detection,1
192.168.1.184,143,tcp,open,imap,Courier imapd,Connect Scan,1
192.168.1.86,3306,tcp,open,mysql,MariaDB 10.3,Version Detection,1
10.0.29.101,8080,tcp,open,http-proxy,Jetty 9.4,Connect Scan,1
192.168.1.93,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.30,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
172.16.11.229,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
10.0.19.25,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,SYN Scan,1
10.0.13.242,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
192.168.1.234,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
10.0.5.213,15452,tcp,filtered,unknown,unknown,ACK Scan,0
192.168.1.245,443,tcp,open,https,nginx 1.18.0,Version Detection,1
172.16.7.63,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
172.16.16.130,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,ACK Scan,1
192.168.1.170,26242,udp,closed,unknown,unknown,SYN Scan,0
172.16.21.49,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Connect Scan,1
172.16.6.100,143,tcp,open,imap,Dovecot imapd,Connect Scan,1
10.0.2.195,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.170,63971,tcp,closed,unknown,unknown,Version Detection,0
192.168.1.80,21,tcp,open,ftp,FileZilla Server,ACK Scan,1
172.16.31.14,80,tcp,open,http,Apache httpd 2.4.41,ACK Scan,1
172.16.5.134,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
192.168.1.212,143,tcp,open,imap,Courier imapd,Version Detection,1
172.16.26.63,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
192.168.1.97,61134,udp,filtered,unknown,unknown,SYN Scan,0
192.168.1.228,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
10.0.0.174,23,tcp,open,telnet,Linux telnetd,SYN Scan,1
10.0.13.33,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
10.0.32.14,143,tcp,open,imap,Dovecot imapd,Version Detection,1
172.16.35.75,31845,tcp,closed,unknown,unknown,Version Detection,0
192.168.1.114,443,tcp,open,https,Apache httpd 2.4.41,ACK Scan,1
172.16.16.191,27258,tcp,filtered,unknown,unknown,Connect Scan,0
10.0.22.43,56859,udp,filtered,unknown,unknown,SYN Scan,0
192.168.1.254,25,tcp,open,smtp,Microsoft Exchange,ACK Scan,1
10.0.27.54,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
172.16.32.218,143,tcp,open,imap,Courier imapd,SYN Scan,1
10.0.30.238,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Version Detection,1
10.0.27.229,25,tcp,open,smtp,Microsoft Exchange,ACK Scan,1
192.168.1.211,3306,tcp,open,mysql,MariaDB 10.3,ACK Scan,1
192.168.1.133,25,tcp,open,smtp,Exim smtpd,Version Detection,1
172.16.20.95,1930,tcp,closed,unknown,unknown,SYN Scan,0
10.0.0.177,32648,tcp,open,unknown,unknown,ACK Scan,1
10.0.19.59,23,tcp,open,telnet,Linux telnetd,Connect Scan,1
192.168.1.252,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
192.168.1.138,23,tcp,open,telnet,Linux telnetd,Connect Scan,1
172.16.28.141,34557,udp,filtered,unknown,unknown,SYN Scan,0
172.16.24.134,143,tcp,open,imap,Dovecot imapd,SYN Scan,1
10.0.25.155,143,tcp,open,imap,Dovecot imapd,Version Detection,1
172.16.19.26,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
10.0.27.7,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.11,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
192.168.1.198,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,ACK Scan,1
172.16.12.68,5432,tcp,open,postgresql,PostgreSQL 13.1,ACK Scan,1
192.168.1.179,21,tcp,open,ftp,FileZilla Server,SYN Scan,1
192.168.1.183,20276,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.67,22467,udp,open,unknown,unknown,ACK Scan,1
10.0.2.172,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
172.16.11.252,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
192.168.1.209,53,udp,open,domain,dnsmasq 2.79,Connect Scan,1
172.16.4.80,22,tcp,open,ssh,OpenSSH 7.6p1,ACK Scan,1
10.0.2.118,15714,tcp,open,unknown,unknown,Connect Scan,1
192.168.1.223,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
192.168.1.233,40292,tcp,filtered,unknown,unknown,SYN Scan,0
10.0.33.210,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
172.16.20.20,21,tcp,open,ftp,vsftpd 3.0.3,Connect Scan,1
172.16.6.253,3306,tcp,open,mysql,MySQL 5.7.33,ACK Scan,1
192.168.1.120,56341,udp,closed,unknown,unknown,ACK Scan,0
10.0.3.111,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
10.0.1.198,15072,tcp,closed,unknown,unknown,SYN Scan,0
172.16.35.118,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,ACK Scan,1
192.168.1.140,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
192.168.1.222,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
192.168.1.77,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
172.16.30.228,23,tcp,open,telnet,Linux telnetd,ACK Scan,1
172.16.12.230,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,ACK Scan,1
10.0.19.197,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
10.0.10.231,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Version Detection,1
172.16.28.178,143,tcp,open,imap,Dovecot imapd,ACK Scan,1
192.168.1.209,21,tcp,open,ftp,FileZilla Server,ACK Scan,1
172.16.36.31,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
192.168.1.202,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Version Detection,1
192.168.1.11,3306,tcp,open,mysql,MySQL 5.7.33,Connect Scan,1
172.16.17.166,53,udp,open,domain,ISC BIND 9.11,SYN Scan,1
172.16.4.144,45421,tcp,open,unknown,unknown,ACK Scan,1
192.168.1.156,3306,tcp,open,mysql,MariaDB 10.3,Version Detection,1
192.168.1.107,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
192.168.1.100,21,tcp,open,ftp,ProFTPD 1.3.5,SYN Scan,1
172.16.0.156,22,tcp,open,ssh,Dropbear sshd,Version Detection,1
172.16.7.189,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
172.16.6.138,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.84,25,tcp,open,smtp,Exim smtpd,ACK Scan,1
192.168.1.114,3306,tcp,open,mysql,MariaDB 10.3,Connect Scan,1
192.168.1.245,21,tcp,open,ftp,vsftpd 3.0.3,ACK Scan,1
172.16.21.186,3306,tcp,open,mysql,MariaDB 10.3,ACK Scan,1
192.168.1.239,80,tcp,open,http,nginx 1.18.0,Connect Scan,1
192.168.1.94,443,tcp,open,https,nginx 1.18.0,Connect Scan,1
192.168.1.3,80,tcp,open,http,Microsoft IIS 10.0,Connect Scan,1
172.16.3.135,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
10.0.30.151,27487,udp,filtered,unknown,unknown,ACK Scan,0
192.168.1.202,25,tcp,open,smtp,Postfix smtpd,Connect Scan,1
172.16.16.51,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
10.0.32.96,110,tcp,open,pop3,Courier pop3d,Version Detection,1
192.168.1.44,443,tcp,open,https,Apache httpd 2.4.41,Version Detection,1
10.0.3.238,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
10.0.14.37,18157,tcp,filtered,unknown,unknown,ACK Scan,0
10.0.29.230,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
10.0.37.12,4171,tcp,filtered,unknown,unknown,ACK Scan,0
172.16.31.4,445,tcp,open,microsoft-ds,Microsoft Windows 10,Version Detection,1
10.0.0.179,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
172.16.0.238,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,ACK Scan,1
172.16.11.40,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
10.0.19.64,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
172.16.24.68,12670,tcp,filtered,unknown,unknown,Version Detection,0
10.0.15.169,23,tcp,open,telnet,Linux telnetd,Version Detection,1
192.168.1.4,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
172.16.18.5,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.226,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
10.0.30.194,21,tcp,open,ftp,FileZilla Server,Version Detection,1
172.16.31.83,15008,tcp,closed,unknown,unknown,Version Detection,0
10.0.31.123,110,tcp,open,pop3,Courier pop3d,ACK Scan,1
192.168.1.184,23,tcp,open,telnet,Cisco IOS telnetd,SYN Scan,1
10.0.2.130,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
10.0.28.15,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.9.145,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
10.0.15.127,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
10.0.11.21,80,tcp,open,http,Microsoft IIS 10.0,Connect Scan,1
172.16.3.2,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
10.0.10.137,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
192.168.1.103,143,tcp,open,imap,Courier imapd,ACK Scan,1
10.0.34.93,8080,tcp,open,http-proxy,Jetty 9.4,SYN Scan,1
10.0.5.77,21,tcp,open,ftp,vsftpd 3.0.3,SYN Scan,1
10.0.37.74,143,tcp,open,imap,Courier imapd,ACK Scan,1
192.168.1.124,80,tcp,open,http,Apache httpd 2.4.41,Version Detection,1
10.0.10.5,19559,tcp,closed,unknown,unknown,Connect Scan,0
172.16.3.102,143,tcp,open,imap,Dovecot imapd,SYN Scan,1
172.16.3.210,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
172.16.35.52,21,tcp,open,ftp,FileZilla Server,ACK Scan,1
10.0.12.104,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
10.0.4.89,22,tcp,open,ssh,OpenSSH 7.6p1,Connect Scan,1
172.16.4.2,3306,tcp,open,mysql,MySQL 5.7.33,SYN Scan,1
192.168.1.133,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
10.0.37.69,21,tcp,open,ftp,vsftpd 3.0.3,SYN Scan,1
192.168.1.59,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
10.0.18.174,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
192.168.1.53,5432,tcp,open,postgresql,PostgreSQL 13.1,SYN Scan,1
172.16.2.124,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Version Detection,1
10.0.32.13,21,tcp,open,ftp,ProFTPD 1.3.5,ACK Scan,1
172.16.15.250,17479,tcp,filtered,unknown,unknown,Version Detection,0
172.16.20.81,80,tcp,open,http,Apache httpd 2.4.41,SYN Scan,1
10.0.29.181,27017,tcp,open,mongodb,MongoDB 4.4.1,ACK Scan,1
172.16.12.156,445,tcp,open,microsoft-ds,Microsoft Windows 10,SYN Scan,1
172.16.27.67,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
172.16.19.157,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
192.168.1.139,80,tcp,open,http,Apache httpd 2.4.41,Version Detection,1
192.168.1.9,23,tcp,open,telnet,Cisco IOS telnetd,Connect Scan,1
192.168.1.66,38160,udp,filtered,unknown,unknown,ACK Scan,0
172.16.23.144,25,tcp,open,smtp,Microsoft Exchange,SYN Scan,1
192.168.1.83,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.30.208,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.167,52563,udp,filtered,unknown,unknown,SYN Scan,0
172.16.6.103,29985,tcp,filtered,unknown,unknown,Version Detection,0
192.168.1.74,50925,udp,closed,unknown,unknown,Version Detection,0
172.16.23.46,110,tcp,open,pop3,Dovecot pop3d,Connect Scan,1
172.16.0.19,22,tcp,open,ssh,Dropbear sshd,Connect Scan,1
10.0.13.32,443,tcp,open,https,Apache httpd 2.4.41,SYN Scan,1
10.0.10.195,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
10.0.34.31,62242,udp,open,unknown,unknown,Version Detection,1
10.0.20.82,80,tcp,open,http,Microsoft IIS 10.0,Version Detection,1
172.16.31.102,143,tcp,open,imap,Dovecot imapd,SYN Scan,1
172.16.18.187,21,tcp,open,ftp,vsftpd 3.0.3,Version Detection,1
10.0.5.215,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
10.0.34.194,143,tcp,open,imap,Courier imapd,Connect Scan,1
10.0.8.127,27017,tcp,open,mongodb,MongoDB 4.2.8,SYN Scan,1
10.0.22.221,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
10.0.25.158,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Version Detection,1
172.16.2.237,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
10.0.20.239,52446,udp,filtered,unknown,unknown,Connect Scan,0
192.168.1.4,22,tcp,open,ssh,OpenSSH 8.2p1,ACK Scan,1
10.0.17.217,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
10.0.6.28,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
10.0.36.36,135,tcp,open,msrpc,Microsoft Windows RPC,SYN Scan,1
192.168.1.161,80,tcp,open,http,Apache httpd 2.4.41,Version Detection,1
10.0.33.105,445,tcp,open,microsoft-ds,Microsoft Windows 10,Connect Scan,1
172.16.11.93,60152,tcp,filtered,unknown,unknown,Connect Scan,0
172.16.30.3,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,Connect Scan,1
192.168.1.184,28925,tcp,filtered,unknown,unknown,ACK Scan,0
192.168.1.174,80,tcp,open,http,Microsoft IIS 10.0,ACK Scan,1
172.16.18.145,80,tcp,open,http,nginx 1.18.0,SYN Scan,1
10.0.22.236,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
192.168.1.56,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
10.0.2.73,36237,tcp,closed,unknown,unknown,Connect Scan,0
192.168.1.82,27017,tcp,open,mongodb,MongoDB 4.2.8,ACK Scan,1
172.16.3.129,443,tcp,open,https,Microsoft IIS 10.0,SYN Scan,1
172.16.31.247,53,udp,open,domain,ISC BIND 9.11,ACK Scan,1
172.16.3.175,143,tcp,open,imap,Courier imapd,SYN Scan,1
10.0.8.231,35124,tcp,filtered,unknown,unknown,SYN Scan,0
172.16.6.72,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
172.16.32.130,23,tcp,open,telnet,Cisco IOS telnetd,SYN Scan,1
192.168.1.159,58108,udp,open,unknown,unknown,ACK Scan,1
10.0.20.5,8080,tcp,open,http-proxy,Tomcat 9.0,SYN Scan,1
192.168.1.227,110,tcp,open,pop3,Courier pop3d,SYN Scan,1
10.0.10.58,29287,udp,filtered,unknown,unknown,ACK Scan,0
172.16.11.111,3306,tcp,open,mysql,MariaDB 10.3,Connect Scan,1
10.0.1.49,53,udp,open,domain,ISC BIND 9.11,Version Detection,1
172.16.16.92,8080,tcp,open,http-proxy,Jetty 9.4,ACK Scan,1
172.16.11.200,143,tcp,open,imap,Courier imapd,ACK Scan,1
192.168.1.206,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
172.16.18.158,23,tcp,open,telnet,Cisco IOS telnetd,SYN Scan,1
192.168.1.155,7250,udp,closed,unknown,unknown,Version Detection,0
172.16.5.84,27017,tcp,open,mongodb,MongoDB 4.2.8,Version Detection,1
10.0.10.208,53,udp,open,domain,ISC BIND 9.11,Connect Scan,1
10.0.31.231,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
172.16.0.154,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
192.168.1.5,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
192.168.1.171,53,udp,open,domain,dnsmasq 2.79,SYN Scan,1
10.0.18.21,32752,udp,closed,unknown,unknown,Connect Scan,0
192.168.1.143,23,tcp,open,telnet,Linux telnetd,Version Detection,1
10.0.37.253,9389,udp,closed,unknown,unknown,ACK Scan,0
172.16.11.180,443,tcp,open,https,Microsoft IIS 10.0,ACK Scan,1
192.168.1.238,135,tcp,open,msrpc,Microsoft Windows RPC,Version Detection,1
172.16.25.168,53,udp,open,domain,ISC BIND 9.11,SYN Scan,1
192.168.1.74,64629,udp,open,unknown,unknown,SYN Scan,1
192.168.1.217,15141,udp,closed,unknown,unknown,Connect Scan,0
192.168.1.167,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
10.0.4.73,25860,tcp,closed,unknown,unknown,ACK Scan,0
10.0.7.132,110,tcp,open,pop3,Courier pop3d,Connect Scan,1
192.168.1.219,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
172.16.38.22,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
10.0.29.114,21,tcp,open,ftp,ProFTPD 1.3.5,Connect Scan,1
10.0.25.153,23,tcp,open,telnet,Cisco IOS telnetd,Version Detection,1
192.168.1.34,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
172.16.34.70,110,tcp,open,pop3,Courier pop3d,Version Detection,1
10.0.19.83,5432,tcp,open,postgresql,PostgreSQL 13.1,Version Detection,1
10.0.28.49,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Version Detection,1
172.16.20.72,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
192.168.1.176,27933,tcp,closed,unknown,unknown,Connect Scan,0
10.0.25.119,47407,tcp,open,unknown,unknown,ACK Scan,1
10.0.0.125,80,tcp,open,http,Microsoft IIS 10.0,Connect Scan,1
192.168.1.204,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
172.16.24.188,110,tcp,open,pop3,Courier pop3d,Version Detection,1
192.168.1.234,23,tcp,open,telnet,Linux telnetd,SYN Scan,1
192.168.1.156,35212,tcp,filtered,unknown,unknown,ACK Scan,0
10.0.18.142,18774,udp,closed,unknown,unknown,Version Detection,0
172.16.34.175,445,tcp,open,microsoft-ds,Microsoft Windows 10,ACK Scan,1
172.16.29.169,26788,udp,closed,unknown,unknown,Version Detection,0
172.16.15.186,443,tcp,open,https,Microsoft IIS 10.0,ACK Scan,1
10.0.35.55,445,tcp,open,microsoft-ds,Microsoft Windows 10,SYN Scan,1
172.16.12.209,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
10.0.36.214,143,tcp,open,imap,Courier imapd,Connect Scan,1
10.0.1.241,2088,tcp,filtered,unknown,unknown,ACK Scan,0
10.0.27.176,11524,tcp,closed,unknown,unknown,Version Detection,0
10.0.3.200,5432,tcp,open,postgresql,PostgreSQL 12.5,SYN Scan,1
10.0.6.3,110,tcp,open,pop3,Dovecot pop3d,SYN Scan,1
10.0.38.17,443,tcp,open,https,Microsoft IIS 10.0,Version Detection,1
192.168.1.39,28008,udp,closed,unknown,unknown,Version Detection,0
172.16.23.228,80,tcp,open,http,Apache httpd 2.4.41,Connect Scan,1
10.0.9.152,23138,tcp,open,unknown,unknown,Connect Scan,1
192.168.1.47,21,tcp,open,ftp,vsftpd 3.0.3,ACK Scan,1
10.0.2.24,26288,udp,closed,unknown,unknown,Connect Scan,0
192.168.1.214,9909,tcp,filtered,unknown,unknown,ACK Scan,0
192.168.1.193,143,tcp,open,imap,Dovecot imapd,Connect Scan,1
10.0.36.24,143,tcp,open,imap,Courier imapd,Connect Scan,1
10.0.12.240,80,tcp,open,http,Apache httpd 2.4.41,SYN Scan,1
10.0.0.166,110,tcp,open,pop3,Dovecot pop3d,Version Detection,1
172.16.10.27,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
172.16.3.200,443,tcp,open,https,Microsoft IIS 10.0,Version Detection,1
172.16.32.6,135,tcp,open,msrpc,Microsoft Windows RPC,ACK Scan,1
192.168.1.250,110,tcp,open,pop3,Dovecot pop3d,ACK Scan,1
10.0.15.83,37408,udp,closed,unknown,unknown,SYN Scan,0
10.0.28.22,443,tcp,open,https,Apache httpd 2.4.41,SYN Scan,1
10.0.34.219,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.33.88,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,ACK Scan,1
10.0.23.74,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
10.0.19.174,46543,tcp,closed,unknown,unknown,ACK Scan,0
192.168.1.120,443,tcp,open,https,Apache httpd 2.4.41,Version Detection,1
172.16.5.137,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,Version Detection,1
192.168.1.179,3306,tcp,open,mysql,MariaDB 10.3,ACK Scan,1
10.0.22.246,443,tcp,open,https,nginx 1.18.0,SYN Scan,1
10.0.25.39,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
172.16.27.156,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
192.168.1.91,57813,udp,filtered,unknown,unknown,SYN Scan,0
192.168.1.25,21,tcp,open,ftp,ProFTPD 1.3.5,ACK Scan,1
192.168.1.187,443,tcp,open,https,Microsoft IIS 10.0,Connect Scan,1
192.168.1.74,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,SYN Scan,1
172.16.16.193,3306,tcp,open,mysql,MySQL 5.7.33,Version Detection,1
10.0.33.117,135,tcp,open,msrpc,Microsoft Windows RPC,Connect Scan,1
172.16.1.179,27017,tcp,open,mongodb,MongoDB 4.2.8,Connect Scan,1
172.16.0.222,143,tcp,open,imap,Courier imapd,Connect Scan,1
172.16.26.208,110,tcp,open,pop3,Courier pop3d,SYN Scan,1
10.0.16.194,21,tcp,open,ftp,vsftpd 3.0.3,ACK Scan,1
192.168.1.201,3389,tcp,open,ms-wbt-server,Microsoft Terminal Services,Connect Scan,1
172.16.32.132,137,udp,open,netbios-ns,Microsoft Windows NetBIOS,ACK Scan,1
172.16.10.76,25,tcp,open,smtp,Exim smtpd,ACK Scan,1
172.16.13.252,7352,tcp,filtered,unknown,unknown,SYN Scan,0
10.0.15.171,22,tcp,open,ssh,Dropbear sshd,Version Detection,1
10.0.34.116,23,tcp,open,telnet,Cisco IOS telnetd,SYN Scan,1
172.16.30.233,22,tcp,open,ssh,Dropbear sshd,Version Detection,1
172.16.3.22,61453,tcp,filtered,unknown,unknown,SYN Scan,0
172.16.26.96,63670,tcp,filtered,unknown,unknown,Connect Scan,0
10.0.5.123,22,tcp,open,ssh,Dropbear sshd,SYN Scan,1
10.0.28.38,8080,tcp,open,http-proxy,Tomcat 9.0,Version Detection,1
10.0.1.201,139,tcp,open,netbios-ssn,Microsoft Windows NetBIOS,Connect Scan,1
10.0.1.3,143,tcp,open,imap,Courier imapd,Version Detection,1
10.0.25.242,53,udp,open,domain,dnsmasq 2.79,ACK Scan,1
172.16.2.232,8080,tcp,open,http-proxy,Jetty 9.4,Version Detection,1
10.0.34.112,23,tcp,open,telnet,Linux telnetd,SYN Scan,1
172.16.24.224,443,tcp,open,https,nginx 1.18.0,Version Detection,1
10.0.18.204,25,tcp,open,smtp,Exim smtpd,SYN Scan,1
192.168.1.157,8080,tcp,open,http-proxy,Tomcat 9.0,ACK Scan,1
10.0.12.213,25,tcp,open,smtp,Microsoft Exchange,Version Detection,1
10.0.28.193,27017,tcp,open,mongodb,MongoDB 4.4.1,Connect Scan,1
172.16.18.87,23,tcp,open,telnet,Linux telnetd,Connect Scan,1
192.168.1.60,27017,tcp,open,mongodb,MongoDB 4.4.1,SYN Scan,1
192.168.1.233,445,tcp,open,microsoft-ds,Samba smbd 4.7.6,SYN Scan,1
10.0.0.167,80,tcp,open,http,nginx 1.18.0,ACK Scan,1
172.16.24.82,8080,tcp,open,http-proxy,Jetty 9.4,SYN Scan,1
192.168.1.119,25,tcp,open,smtp,Microsoft Exchange,Connect Scan,1
192.168.1.217,23,tcp,open,telnet,Cisco IOS telnetd,ACK Scan,1
172.16.10.225,80,tcp,open,http,nginx 1.18.0,Version Detection,1
172.16.3.69,9195,udp,open,unknown,unknown,Connect Scan,1
192.168.1.168,12355,udp,closed,unknown,unknown,Version Detection,0
